urn,aspect,metadata,createdon,createdby
"urn:li:dataset:(urn:li:dataPlatform:snowflake,long_tail_companions.ecommerce.right_sized,PROD)",datasetKey,"{""name"":""long_tail_companions.ecommerce.right_sized"",""platform"":""urn:li:dataPlatform:snowflake"",""origin"":""PROD""}",2022-03-22 3:37:46,urn:li:corpuser:UNKNOWN
"urn:li:dataset:(urn:li:dataPlatform:snowflake,long_tail_companions.ecommerce.tangible,PROD)",datasetKey,"{""name"":""long_tail_companions.ecommerce.tangible"",""platform"":""urn:li:dataPlatform:snowflake"",""origin"":""PROD""}",2022-03-22 3:37:48,urn:li:corpuser:UNKNOWN
"urn:li:dataset:(urn:li:dataPlatform:snowflake,long_tail_companions.ecommerce.right_sized,PROD)",domains,"{""domains"":[""urn:li:domain:7186eeff-a860-4b0a-989f-69473a0c9c67""]}",2024-08-06 19:52:58,urn:li:corpuser:tommy@longtail.com
"urn:li:dataset:(urn:li:dataPlatform:snowflake,long_tail_companions.ecommerce.tangible,PROD)",domains,"{""domains"":[""urn:li:domain:7186eeff-a860-4b0a-989f-69473a0c9c67""]}",2024-08-06 19:52:58,urn:li:corpuser:tommy@longtail.com
"urn:li:dataset:(urn:li:dataPlatform:snowflake,long_tail_companions.finance.graphic_interface,PROD)",glossaryTerms,"{""auditStamp"":{""actor"":""urn:li:corpuser:__datahub_system"",""time"":1733985294599},""terms"":[{""urn"":""urn:li:glossaryTerm:9afa9a59-93b2-47cb-9094-aa342eec24ad""},{""urn"":""urn:li:glossaryTerm:Classification.Confidential""}]}",2024-12-12 6:36:59,urn:li:corpuser:__datahub_system
"urn:li:dataset:(urn:li:dataPlatform:snowflake,long_tail_companions.ecommerce.items,PROD)",glossaryTerms,"{""auditStamp"":{""actor"":""urn:li:corpuser:__datahub_system"",""time"":1733985294599},""terms"":[{""urn"":""urn:li:glossaryTerm:9afa9a59-93b2-47cb-9094-aa342eec24ad""},{""urn"":""urn:li:glossaryTerm:Ecommerce.ReturnRate""}]}",2024-12-12 6:37:06,urn:li:corpuser:__datahub_system
"urn:li:dataset:(urn:li:dataPlatform:snowflake,long_tail_companions.ecommerce.top_level_product_details,PROD)",glossaryTerms,"{""auditStamp"":{""actor"":""urn:li:corpuser:__datahub_system"",""time"":1733985294599},""terms"":[{""urn"":""urn:li:glossaryTerm:9afa9a59-93b2-47cb-9094-aa342eec24ad""}]}",2024-12-12 6:37:05,urn:li:corpuser:__datahub_system
"urn:li:dataset:(urn:li:dataPlatform:snowflake,long_tail_companions.analytics.granular_infomediaries,PROD)",glossaryTerms,"{""auditStamp"":{""actor"":""urn:li:corpuser:__datahub_system"",""time"":1733985294599},""terms"":[{""urn"":""urn:li:glossaryTerm:9afa9a59-93b2-47cb-9094-aa342eec24ad""}]}",2024-12-12 6:37:06,urn:li:corpuser:__datahub_system
"urn:li:dataset:(urn:li:dataPlatform:snowflake,long_tail_companions.analytics.interactive_webreadiness,PROD)",ownership,"{""owners"":[{""owner"":""urn:li:corpuser:eddie@longtail.com"",""type"":""BUSINESS_OWNER""}]}",2024-03-26 6:39:10,urn:li:corpuser:__datahub_system
"urn:li:dataset:(urn:li:dataPlatform:snowflake,long_tail_companions.analytics.usercentric_bandwidth,PROD)",ownership,"{""owners"":[{""owner"":""urn:li:corpuser:eddie@longtail.com"",""type"":""BUSINESS_OWNER""}]}",2024-03-26 6:39:31,urn:li:corpuser:__datahub_system
"urn:li:dataset:(urn:li:dataPlatform:snowflake,long_tail_companions.analytics.sticky_portals,PROD)",ownership,"{""owners"":[{""owner"":""urn:li:corpuser:eddie@longtail.com"",""type"":""BUSINESS_OWNER""}]}",2024-03-26 6:39:11,urn:li:corpuser:__datahub_system
"urn:li:dataset:(urn:li:dataPlatform:snowflake,long_tail_companions.analytics.vertical_etailers,PROD)",datasetKey,"{""name"":""long_tail_companions.analytics.vertical_etailers"",""platform"":""urn:li:dataPlatform:snowflake"",""origin"":""PROD""}",2022-03-22 3:37:16,urn:li:corpuser:UNKNOWN
"urn:li:dataset:(urn:li:dataPlatform:snowflake,long_tail_companions.adoption.cross_platform,PROD)",datasetKey,"{""name"":""long_tail_companions.adoption.cross_platform"",""platform"":""urn:li:dataPlatform:snowflake"",""origin"":""PROD""}",2022-03-22 3:35:20,urn:li:corpuser:UNKNOWN
"urn:li:dataset:(urn:li:dataPlatform:snowflake,long_tail_companions.adoption_events.hybrid,PROD)",datasetKey,"{""name"":""long_tail_companions.adoption_events.hybrid"",""platform"":""urn:li:dataPlatform:snowflake"",""origin"":""PROD""}",2022-03-22 3:35:48,urn:li:corpuser:UNKNOWN
"urn:li:dataset:(urn:li:dataPlatform:snowflake,long_tail_companions.adoption.graphical_user_interface,PROD)",datasetKey,"{""name"":""long_tail_companions.adoption.graphical_user_interface"",""platform"":""urn:li:dataPlatform:snowflake"",""origin"":""PROD""}",2022-03-22 3:35:27,urn:li:corpuser:UNKNOWN
"urn:li:dataset:(urn:li:dataPlatform:snowflake,long_tail_companions.analytics.outofthebox_vortals,PROD)",datasetKey,"{""name"":""long_tail_companions.analytics.outofthebox_vortals"",""platform"":""urn:li:dataPlatform:snowflake"",""origin"":""PROD""}",2022-03-22 3:36:53,urn:li:corpuser:UNKNOWN
"urn:li:dataset:(urn:li:dataPlatform:snowflake,long_tail_companions.adoption.needs_based,PROD)",datasetKey,"{""name"":""long_tail_companions.adoption.needs_based"",""platform"":""urn:li:dataPlatform:snowflake"",""origin"":""PROD""}",2022-03-22 3:35:31,urn:li:corpuser:UNKNOWN
"urn:li:dataset:(urn:li:dataPlatform:snowflake,long_tail_companions.adoption_events.approach,PROD)",datasetKey,"{""name"":""long_tail_companions.adoption_events.approach"",""platform"":""urn:li:dataPlatform:snowflake"",""origin"":""PROD""}",2022-03-22 3:35:38,urn:li:corpuser:UNKNOWN
"urn:li:dataset:(urn:li:dataPlatform:snowflake,long_tail_companions.product_management.initiative,PROD)",datasetKey,"{""name"":""long_tail_companions.product_management.initiative"",""platform"":""urn:li:dataPlatform:snowflake"",""origin"":""PROD""}",2022-03-22 3:38:33,urn:li:corpuser:UNKNOWN
"urn:li:dataset:(urn:li:dataPlatform:snowflake,long_tail_companions.finance.array,PROD)",datasetKey,"{""name"":""long_tail_companions.finance.array"",""platform"":""urn:li:dataPlatform:snowflake"",""origin"":""PROD""}",2022-03-22 3:37:52,urn:li:corpuser:UNKNOWN
"urn:li:dataset:(urn:li:dataPlatform:snowflake,long_tail_companions.data_platform.human_resource,PROD)",datasetKey,"{""name"":""long_tail_companions.data_platform.human_resource"",""platform"":""urn:li:dataPlatform:snowflake"",""origin"":""PROD""}",2022-03-22 3:37:27,urn:li:corpuser:UNKNOWN
"urn:li:dataset:(urn:li:dataPlatform:snowflake,long_tail_companions.adoption.cross_platform,PROD)",domains,"{""domains"":[""urn:li:domain:0da1ef03-8870-45db-9f47-ef4f592f095c""]}",2024-08-06 19:51:53,urn:li:corpuser:tommy@longtail.com
"urn:li:dataset:(urn:li:dataPlatform:snowflake,long_tail_companions.adoption_events.hybrid,PROD)",domains,"{""domains"":[""urn:li:domain:0da1ef03-8870-45db-9f47-ef4f592f095c""]}",2024-08-06 19:52:15,urn:li:corpuser:tommy@longtail.com
"urn:li:dataset:(urn:li:dataPlatform:snowflake,long_tail_companions.adoption.graphical_user_interface,PROD)",domains,"{""domains"":[""urn:li:domain:0da1ef03-8870-45db-9f47-ef4f592f095c""]}",2024-08-06 19:51:53,urn:li:corpuser:tommy@longtail.com
"urn:li:dataset:(urn:li:dataPlatform:snowflake,long_tail_companions.adoption.needs_based,PROD)",domains,"{""domains"":[""urn:li:domain:0da1ef03-8870-45db-9f47-ef4f592f095c""]}",2024-08-06 19:51:53,urn:li:corpuser:tommy@longtail.com
"urn:li:dataset:(urn:li:dataPlatform:snowflake,long_tail_companions.adoption_events.approach,PROD)",domains,"{""domains"":[""urn:li:domain:0da1ef03-8870-45db-9f47-ef4f592f095c""]}",2024-08-06 19:51:53,urn:li:corpuser:tommy@longtail.com
"urn:li:dataset:(urn:li:dataPlatform:snowflake,long_tail_companions.finance.array,PROD)",domains,"{""domains"":[""urn:li:domain:0da1ef03-8870-45db-9f47-ef4f592f095c""]}",2024-08-06 19:52:58,urn:li:corpuser:tommy@longtail.com
"urn:li:dataset:(urn:li:dataPlatform:snowflake,long_tail_companions.data_platform.human_resource,PROD)",domains,"{""domains"":[""urn:li:domain:0da1ef03-8870-45db-9f47-ef4f592f095c""]}",2024-08-06 19:52:15,urn:li:corpuser:tommy@longtail.com
"urn:li:dataset:(urn:li:dataPlatform:snowflake,long_tail_companions.analytics.opensource_actionitems,PROD)",glossaryTerms,"{""auditStamp"":{""actor"":""urn:li:corpuser:__datahub_system"",""time"":1733985294599},""terms"":[{""urn"":""urn:li:glossaryTerm:9afa9a59-93b2-47cb-9094-aa342eec24ad""}]}",2024-12-12 6:36:59,urn:li:corpuser:__datahub_system
"urn:li:dataset:(urn:li:dataPlatform:snowflake,long_tail_companions.adoption.actuating,PROD)",glossaryTerms,"{""auditStamp"":{""actor"":""urn:li:corpuser:__datahub_system"",""time"":1733985268116},""terms"":[{""urn"":""urn:li:glossaryTerm:9afa9a59-93b2-47cb-9094-aa342eec24ad""}]}",2024-12-12 6:36:27,urn:li:corpuser:__datahub_system
"urn:li:dataset:(urn:li:dataPlatform:snowflake,long_tail_companions.ecommerce.attitude_oriented,PROD)",glossaryTerms,"{""auditStamp"":{""actor"":""urn:li:corpuser:__datahub_system"",""time"":1733985294599},""terms"":[{""urn"":""urn:li:glossaryTerm:9afa9a59-93b2-47cb-9094-aa342eec24ad""}]}",2024-12-12 6:37:05,urn:li:corpuser:__datahub_system
"urn:li:dataset:(urn:li:dataPlatform:snowflake,long_tail_companions.adoption_events.fully_configurable,PROD)",glossaryTerms,"{""auditStamp"":{""actor"":""urn:li:corpuser:__datahub_system"",""time"":1733985294599},""terms"":[{""urn"":""urn:li:glossaryTerm:9afa9a59-93b2-47cb-9094-aa342eec24ad""}]}",2024-12-12 6:36:59,urn:li:corpuser:__datahub_system
"urn:li:dataset:(urn:li:dataPlatform:snowflake,long_tail_companions.data_platform.maximized,PROD)",ownership,"{""owners"":[{""owner"":""urn:li:corpuser:eddie@longtail.com"",""type"":""BUSINESS_OWNER""}]}",2024-03-26 6:39:34,urn:li:corpuser:__datahub_system
"urn:li:dataset:(urn:li:dataPlatform:snowflake,long_tail_companions.analytics.ubiquitous_niches,PROD)",ownership,"{""owners"":[{""owner"":""urn:li:corpuser:eddie@longtail.com"",""type"":""BUSINESS_OWNER""}]}",2024-03-26 6:39:18,urn:li:corpuser:__datahub_system
"urn:li:dataset:(urn:li:dataPlatform:snowflake,long_tail_companions.analytics.virtual_solutions,PROD)",ownership,"{""owners"":[{""owner"":""urn:li:corpuser:eddie@longtail.com"",""type"":""BUSINESS_OWNER""}]}",2024-03-26 6:39:29,urn:li:corpuser:__datahub_system
"urn:li:dataset:(urn:li:dataPlatform:snowflake,long_tail_companions.analytics.wireless_experiences,PROD)",ownership,"{""owners"":[{""owner"":""urn:li:corpuser:eddie@longtail.com"",""type"":""BUSINESS_OWNER""}]}",2024-03-26 6:39:39,urn:li:corpuser:__datahub_system
"urn:li:dataset:(urn:li:dataPlatform:snowflake,long_tail_companions.product_management.composite_metrics,PROD)",ownership,"{""owners"":[{""owner"":""urn:li:corpuser:eddie@longtail.com"",""type"":""TECHNICAL_OWNER""},{""owner"":""urn:li:corpuser:chris@longtail.com"",""type"":""BUSINESS_OWNER""},{""owner"":""urn:li:corpuser:terrance@longtail.com"",""type"":""TECHNICAL_OWNER""}]}",2024-03-26 6:36:29,urn:li:corpuser:__datahub_system
"urn:li:dataset:(urn:li:dataPlatform:snowflake,long_tail_companions.ecommerce.part,PROD)",ownership,"{""owners"":[{""owner"":""urn:li:corpuser:eddie@longtail.com"",""type"":""BUSINESS_OWNER""}]}",2024-03-26 6:39:15,urn:li:corpuser:__datahub_system
"urn:li:dataset:(urn:li:dataPlatform:snowflake,long_tail_companions.analytics.pet_status_history,PROD)",ownership,"{""owners"":[{""owner"":""urn:li:corpuser:eddie@longtail.com"",""type"":""BUSINESS_OWNER""}]}",2024-03-26 6:39:15,urn:li:corpuser:__datahub_system
"urn:li:dataset:(urn:li:dataPlatform:snowflake,long_tail_companions.finance.networked,PROD)",ownership,"{""owners"":[{""owner"":""urn:li:corpuser:eddie@longtail.com"",""type"":""TECHNICAL_OWNER""},{""owner"":""urn:li:corpuser:chris@longtail.com"",""type"":""BUSINESS_OWNER""},{""owner"":""urn:li:corpuser:terrance@longtail.com"",""type"":""TECHNICAL_OWNER""}]}",2024-03-26 6:36:36,urn:li:corpuser:__datahub_system
